psi1= 309.9465603322478	psi2= 332.3393028469002	psi3= 350.144183068755	psi4= 332.60715731032894	psi5= 382.42485927784406	psi6= 374.4988118162587	psi7= 350.21561022297203	psi8= 374.5166684498074	psi9= 360.688432939535	
psi1= 310.9465603322478	psi2= 333.3393028469002	psi3= 351.144183068755	psi4= 333.60715731032894	psi5= 383.42485927784406	psi6= 375.4988118162587	psi7= 351.21561022297203	psi8= 375.5166684498074	psi9= 361.688432939535	
psi1= 311.9465603322478	psi2= 334.3393028469002	psi3= 352.144183068755	psi4= 334.60715731032894	psi5= 384.42485927784406	psi6= 376.4988118162587	psi7= 352.21561022297203	psi8= 376.5166684498074	psi9= 362.688432939535	
psi1= 312.9465603322478	psi2= 335.3393028469002	psi3= 353.144183068755	psi4= 335.60715731032894	psi5= 385.42485927784406	psi6= 377.4988118162587	psi7= 353.21561022297203	psi8= 377.5166684498074	psi9= 363.688432939535	
psi1= 313.9465603322478	psi2= 336.3393028469002	psi3= 354.144183068755	psi4= 336.60715731032894	psi5= 386.42485927784406	psi6= 378.4988118162587	psi7= 354.21561022297203	psi8= 378.5166684498074	psi9= 364.688432939535	
psi1= 314.9465603322478	psi2= 337.3393028469002	psi3= 355.144183068755	psi4= 337.60715731032894	psi5= 387.42485927784406	psi6= 379.4988118162587	psi7= 355.21561022297203	psi8= 379.5166684498074	psi9= 365.688432939535	
psi1= 315.9465603322478	psi2= 338.3393028469002	psi3= 356.144183068755	psi4= 338.60715731032894	psi5= 388.42485927784406	psi6= 380.4988118162587	psi7= 356.21561022297203	psi8= 380.5166684498074	psi9= 366.688432939535	
psi1= 316.9465603322478	psi2= 339.3393028469002	psi3= 357.144183068755	psi4= 339.60715731032894	psi5= 389.42485927784406	psi6= 381.4988118162587	psi7= 357.21561022297203	psi8= 381.5166684498074	psi9= 367.688432939535	
psi1= 317.9465603322478	psi2= 340.3393028469002	psi3= 358.144183068755	psi4= 340.60715731032894	psi5= 390.42485927784406	psi6= 382.4988118162587	psi7= 358.21561022297203	psi8= 382.5166684498074	psi9= 368.688432939535	
psi1= 318.9465603322478	psi2= 341.3393028469002	psi3= 359.144183068755	psi4= 341.60715731032894	psi5= 391.42485927784406	psi6= 383.4988118162587	psi7= 359.21561022297203	psi8= 383.5166684498074	psi9= 369.688432939535	
psi1= 319.9465603322478	psi2= 342.3393028469002	psi3= 360.144183068755	psi4= 342.60715731032894	psi5= 392.42485927784406	psi6= 384.4988118162587	psi7= 360.21561022297203	psi8= 384.5166684498074	psi9= 370.688432939535	
psi1= 320.9465603322478	psi2= 343.3393028469002	psi3= 361.144183068755	psi4= 343.60715731032894	psi5= 393.42485927784406	psi6= 385.4988118162587	psi7= 361.21561022297203	psi8= 385.5166684498074	psi9= 371.688432939535	
psi1= 321.9465603322478	psi2= 344.3393028469002	psi3= 362.144183068755	psi4= 344.60715731032894	psi5= 394.42485927784406	psi6= 386.4988118162587	psi7= 362.21561022297203	psi8= 386.5166684498074	psi9= 372.688432939535	
psi1= 322.9465603322478	psi2= 345.3393028469002	psi3= 363.144183068755	psi4= 345.60715731032894	psi5= 395.42485927784406	psi6= 387.4988118162587	psi7= 363.21561022297203	psi8= 387.5166684498074	psi9= 373.688432939535	
psi1= 323.9465603322478	psi2= 346.3393028469002	psi3= 364.144183068755	psi4= 346.60715731032894	psi5= 396.42485927784406	psi6= 388.4988118162587	psi7= 364.21561022297203	psi8= 388.5166684498074	psi9= 374.688432939535	
psi1= 324.9465603322478	psi2= 347.3393028469002	psi3= 365.144183068755	psi4= 347.60715731032894	psi5= 397.42485927784406	psi6= 389.4988118162587	psi7= 365.21561022297203	psi8= 389.5166684498074	psi9= 375.688432939535	
psi1= 325.9465603322478	psi2= 348.3393028469002	psi3= 366.144183068755	psi4= 348.60715731032894	psi5= 398.42485927784406	psi6= 390.4988118162587	psi7= 366.21561022297203	psi8= 390.5166684498074	psi9= 376.688432939535	
psi1= 326.9465603322478	psi2= 349.3393028469002	psi3= 367.144183068755	psi4= 349.60715731032894	psi5= 399.42485927784406	psi6= 391.4988118162587	psi7= 367.21561022297203	psi8= 391.5166684498074	psi9= 377.688432939535	
psi1= 327.9465603322478	psi2= 350.3393028469002	psi3= 368.144183068755	psi4= 350.60715731032894	psi5= 400.42485927784406	psi6= 392.4988118162587	psi7= 368.21561022297203	psi8= 392.5166684498074	psi9= 378.688432939535	
psi1= 328.9465603322478	psi2= 351.3393028469002	psi3= 369.144183068755	psi4= 351.60715731032894	psi5= 401.42485927784406	psi6= 393.4988118162587	psi7= 369.21561022297203	psi8= 393.5166684498074	psi9= 379.688432939535	
psi1= 329.9465603322478	psi2= 352.3393028469002	psi3= 370.144183068755	psi4= 352.60715731032894	psi5= 402.42485927784406	psi6= 394.4988118162587	psi7= 370.21561022297203	psi8= 394.5166684498074	psi9= 380.688432939535	
psi1= 330.9465603322478	psi2= 353.3393028469002	psi3= 371.144183068755	psi4= 353.60715731032894	psi5= 403.42485927784406	psi6= 395.4988118162587	psi7= 371.21561022297203	psi8= 395.5166684498074	psi9= 381.688432939535	
psi1= 331.9465603322478	psi2= 354.3393028469002	psi3= 372.144183068755	psi4= 354.60715731032894	psi5= 404.42485927784406	psi6= 396.4988118162587	psi7= 372.21561022297203	psi8= 396.5166684498074	psi9= 382.688432939535	
psi1= 332.9465603322478	psi2= 355.3393028469002	psi3= 373.144183068755	psi4= 355.60715731032894	psi5= 405.42485927784406	psi6= 397.4988118162587	psi7= 373.21561022297203	psi8= 397.5166684498074	psi9= 383.688432939535	
psi1= 333.9465603322478	psi2= 356.3393028469002	psi3= 374.144183068755	psi4= 356.60715731032894	psi5= 406.42485927784406	psi6= 398.4988118162587	psi7= 374.21561022297203	psi8= 398.5166684498074	psi9= 384.688432939535	
