RC circuit simulation with RK34_adaptive :************************************************
t= 0.0	v1= 2.5	v2= 2.5
t= 29.5999999999999	v1= 0.8204894343429562	v2= 4.336736668914473
t= 29.799999999999898	v1= 0.8240440563401263	v2= 4.3498621423298305
t= 29.999999999999897	v1= 0.8275282906278236	v2= 4.362726939534101
t= 30.1999999999999	v1= 0.8289609560053477	v2= 4.375336867279005
t= 30.399999999999903	v1= 0.8264049036119779	v2= 4.387698100713429
t= 30.599999999999902	v1= 0.8199391170099182	v2= 4.399816142305286
t= 30.799999999999905	v1= 0.8096410157492123	v2= 4.411696000700297
t= 30.999999999999908	v1= 0.7955864863379098	v2= 4.423342243987835
t= 31.19999999999991	v1= 0.7798324875989673	v2= 4.434759004459635
t= 31.39999999999991	v1= 0.7643904454863981	v2= 4.445950379866468
t= 31.599999999999913	v1= 0.7492541827154162	v2= 4.456920599179371
t= 31.799999999999915	v1= 0.7344176443222376	v2= 4.467673889154455
t= 31.999999999999915	v1= 0.7198748952419121	v2= 4.47821444547261
t= 32.19999999999992	v1= 0.7056201179341173	v2= 4.488546414837313
t= 32.39999999999992	v1= 0.6916476100559662	v2= 4.498673884047756
t= 32.59999999999992	v1= 0.6779517821808976	v2= 4.508600873513591
t= 32.799999999999926	v1= 0.6645271555627353	v2= 4.518331333600987
t= 32.99999999999992	v1= 0.6513683599440246	v2= 4.527869142785875
t= 33.199999999999925	v1= 0.6384701314077658	v2= 4.53721810696176
t= 33.39999999999993	v1= 0.625827310271688	v2= 4.54638195948505
t= 33.59999999999993	v1= 0.6134348390242205	v2= 4.555364361690429
t= 33.79999999999993	v1= 0.6012877603013339	v2= 4.564168903704061
t= 33.999999999999936	v1= 0.5893812149034452	v2= 4.572799105443293
t= 34.19999999999994	v1= 0.57771043985159	v2= 4.581258417730539
t= 34.399999999999935	v1= 0.5662707664820871	v2= 4.589550223474254
t= 34.59999999999994	v1= 0.5550576185789311	v2= 4.597677838886144
t= 34.79999999999994	v1= 0.5440665105431679	v2= 4.605644514714396
t= 34.99999999999994	v1= 0.5332930455985185	v2= 4.613453437479654
t= 35.199999999999946	v1= 0.5227329140325359	v2= 4.621107730704991
t= 35.39999999999995	v1= 0.512381891472589	v2= 4.628610456134193
t= 35.59999999999995	v1= 0.5022358371959857	v2= 4.635964614934622
t= 35.79999999999995	v1= 0.4922906924735589	v2= 4.643173148882296
t= 35.99999999999995	v1= 0.4825424789460508	v2= 4.6502389415276975
t= 36.19999999999995	v1= 0.4729872970326494	v2= 4.657164819341438
t= 36.399999999999956	v1= 0.46362132437103787	v2= 4.663953552839302
