RC circuit simulation with RK34_adaptive :************************************************
t= 0.0	v1= 0.0	v2= 0.0
t= 40.599999999999994	v1= 0.15511048737458885	v2= 0.12159113040843314
t= 40.8	v1= 0.16512526728123356	v2= 0.12015330542313199
t= 41.0	v1= 0.17864331897006758	v2= 0.11907005996952456
t= 41.199999999999996	v1= 0.19356937097600194	v2= 0.11833742208340495
t= 41.4	v1= 0.20789886276005767	v2= 0.11790882273853047
t= 41.6	v1= 0.22166091896882836	v2= 0.11776148957436604
t= 41.800000000000004	v1= 0.23488308994253068	v2= 0.11787406848839503
t= 42.00000000000001	v1= 0.2475914404134333	v2= 0.11822653973272092
t= 42.20000000000001	v1= 0.25981063313007247	v2= 0.11880013889239348
t= 42.400000000000006	v1= 0.2715640076991097	v2= 0.11957728246302574
t= 42.60000000000001	v1= 0.28287365491986954	v2= 0.12054149776157619
t= 42.80000000000001	v1= 0.293760486870745	v2= 0.12167735691953867
t= 43.000000000000014	v1= 0.30424430299172533	v2= 0.12297041472226268
t= 43.20000000000002	v1= 0.3143438523932259	v2= 0.12440715007177243
t= 43.40000000000002	v1= 0.3240768926081382	v2= 0.1259749108633105
t= 43.60000000000002	v1= 0.3334602449915208	v2= 0.12766186207794758
t= 43.80000000000002	v1= 0.3425098469605748	v2= 0.1294569369050166
t= 44.00000000000002	v1= 0.35124080125644963	v2= 0.13134979071888692
t= 44.200000000000024	v1= 0.359667422398968	v2= 0.1333307577447314
t= 44.40000000000003	v1= 0.36780328049550204	v2= 0.13539081025749092
t= 44.60000000000003	v1= 0.3756612425559482	v2= 0.1375215201672412
t= 44.80000000000003	v1= 0.38325351145699443	v2= 0.13971502285264864
t= 45.000000000000036	v1= 0.3905916626906296	v2= 0.14196398311219247
t= 45.20000000000003	v1= 0.3976866790240704	v2= 0.14426156311036176
t= 45.400000000000034	v1= 0.40454898319096017	v2= 0.14660139220313118
t= 45.60000000000004	v1= 0.41118846872679193	v2= 0.14897753853370552
t= 45.80000000000004	v1= 0.4176145290550046	v2= 0.1513844822958234
t= 46.00000000000004	v1= 0.42383608492407265	v2= 0.1538170905678471
t= 46.200000000000045	v1= 0.4298616102901352	v2= 0.1562705936264591
t= 46.40000000000005	v1= 0.4356991567342679	v2= 0.1587405626540575
t= 46.600000000000044	v1= 0.44135637649837167	v2= 0.1612228887589084
t= 46.80000000000005	v1= 0.4468405442188204	v2= 0.16371376323179374
t= 47.00000000000005	v1= 0.4521585774324554	v2= 0.1662096589673033
t= 47.20000000000005	v1= 0.45731705592522115	v2= 0.16870731298207367
t= 47.400000000000055	v1= 0.4623222399896943	v2= 0.17120370996619338
t= 47.60000000000006	v1= 0.4671800876539449	v2= 0.17369606680768207
t= 47.800000000000054	v1= 0.47189627094057784	v2= 0.17618181803342794
t= 48.00000000000006	v1= 0.47647619121141727	v2= 0.1786586021132434
t= 48.20000000000006	v1= 0.4809249936501078	v2= 0.18112424857678477
t= 48.40000000000006	v1= 0.48524758093189957	v2= 0.18357676589599087
t= 48.600000000000065	v1= 0.4894486261270512	v2= 0.1860143300884342
t= 48.80000000000007	v1= 0.49353258488161705	v2= 0.18843527399956225
t= 49.00000000000007	v1= 0.49750370691686713	v2= 0.19083807722423723
t= 49.20000000000007	v1= 0.5013660468862188	v2= 0.19322135663027673
t= 49.40000000000007	v1= 0.5051234746263246	v2= 0.19558385744885645
t= 49.60000000000007	v1= 0.5087796848368558	v2= 0.19792444489867195
t= 49.800000000000075	v1= 0.5123382062215355	v2= 0.20024209631267367
t= 50.00000000000008	v1= 0.515802410121107	v2= 0.20253589373799682
