RC circuit simulation with RK4 :************************************************
t= 0.0	v1= 0.0	v2= 0.0
t= 23.599999999999945	v1= 0.3222145070559548	v2= 0.11465301130985983
t= 23.79999999999994	v1= 0.3314529028835638	v2= 0.11656561987695692
t= 23.99999999999994	v1= 0.3403675427965556	v2= 0.11858117504103088
t= 24.19999999999994	v1= 0.3489730399938783	v2= 0.12068943601238315
t= 24.399999999999938	v1= 0.3572832405531232	v2= 0.1228808425413498
t= 24.599999999999937	v1= 0.3653112664484633	v2= 0.12514647361482437
t= 24.799999999999933	v1= 0.3730695560958969	v2= 0.12747800859152555
t= 24.999999999999932	v1= 0.3805699025691713	v2= 0.12986769063330877
t= 25.199999999999932	v1= 0.38782348962141994	v2= 0.13230829229814486
t= 25.39999999999993	v1= 0.39484092563969836	v2= 0.13479308316822905
t= 25.599999999999927	v1= 0.4016322756522037	v2= 0.13731579939406638
t= 25.799999999999926	v1= 0.40820709150100154	v2= 0.13987061504233164
t= 25.999999999999925	v1= 0.4145744402865218	v2= 0.14245211514184972
t= 26.199999999999925	v1= 0.42074293118390926	v2= 0.14505527032820767
t= 26.39999999999992	v1= 0.4267207407254946	v2= 0.1476754129933163
t= 26.59999999999992	v1= 0.43251563663817366	v2= 0.1503082148517069
t= 26.79999999999992	v1= 0.43813500031932173	v2= 0.152949665840498
t= 26.99999999999992	v1= 0.44358584803000867	v2= 0.15559605427481588
t= 27.199999999999918	v1= 0.4488748508797048	v2= 0.15824394818501947
t= 27.399999999999913	v1= 0.45400835367235554	v2= 0.16089017776637982
t= 27.599999999999913	v1= 0.4589923926796428	v2= 0.16353181887591456
t= 27.799999999999912	v1= 0.46383271240342816	v2= 0.16616617751489055
t= 27.99999999999991	v1= 0.46853478138577076	v2= 0.16879077523909955
t= 28.199999999999907	v1= 0.47310380712152184	v2= 0.1714033354423936
t= 28.399999999999906	v1= 0.47754475012530334	v2= 0.17400177046215068
t= 28.599999999999905	v1= 0.48186233720166927	v2= 0.17658416945834104
t= 28.799999999999905	v1= 0.4860610739644159	v2= 0.17914878702068834
t= 28.999999999999904	v1= 0.49014525664833763	v2= 0.1816940324610788
t= 29.1999999999999	v1= 0.49411898325421244	v2= 0.18421845975087625
t= 29.3999999999999	v1= 0.497986164065434	v2= 0.1867207580651595
t= 29.5999999999999	v1= 0.5017505315724775	v2= 0.1891997428981184
t= 29.799999999999898	v1= 0.5054156498392878	v2= 0.1916543477159371
t= 29.999999999999897	v1= 0.508984923343699	v2= 0.19408361611546165
t= 30.1999999999999	v1= 0.5104962303221369	v2= 0.19646949445880388
t= 30.399999999999903	v1= 0.5080726931932831	v2= 0.1987526973492216
t= 30.599999999999902	v1= 0.5018658923972774	v2= 0.20086159426924458
t= 30.799999999999905	v1= 0.49202011615594454	v2= 0.20273026377193673
t= 30.999999999999908	v1= 0.4786727547880473	v2= 0.20429813051472676
t= 31.19999999999991	v1= 0.4639200476596066	v2= 0.20552682403740544
t= 31.39999999999991	v1= 0.44976667151384675	v2= 0.2064239856123905
t= 31.599999999999913	v1= 0.436182865086841	v2= 0.20701407361607668
t= 31.799999999999915	v1= 0.42314049867387193	v2= 0.20732001987206228
t= 31.999999999999915	v1= 0.4106129811150665	v2= 0.20736332058620466
t= 32.19999999999992	v1= 0.3985751721588356	v2= 0.20716412194504472
t= 32.39999999999992	v1= 0.38700329989067106	v2= 0.20674130068923244
t= 32.59999999999992	v1= 0.375874882933036	v2= 0.20611253995541887
t= 32.799999999999926	v1= 0.36516865713920826	v2= 0.2052944006629708
t= 32.99999999999992	v1= 0.35486450652006524	v2= 0.20430238870575249
t= 33.199999999999925	v1= 0.3449433981579856	v2= 0.203151018194046
t= 33.39999999999993	v1= 0.33538732087634837	v2= 0.20185387097739252
t= 33.59999999999993	v1= 0.32617922744657984	v2= 0.20042365266568016
t= 33.79999999999993	v1= 0.3173029801273866	v2= 0.19887224535313203
t= 33.999999999999936	v1= 0.3087432993427601	v2= 0.19721075723791384
t= 34.19999999999994	v1= 0.3004857153165911	v2= 0.19544956931884197
t= 34.399999999999935	v1= 0.2925165224923292	v2= 0.1935983793400888
t= 34.59999999999994	v1= 0.28482273657610385	v2= 0.19166624314481584
t= 34.79999999999994	v1= 0.2773920540511203	v2= 0.18966161358927808
t= 34.99999999999994	v1= 0.2702128140199982	v2= 0.18759237716010443
t= 35.199999999999946	v1= 0.26327396224005634	v2= 0.18546588842913464
t= 35.39999999999995	v1= 0.2565650172243973	v2= 0.18328900247235394
t= 35.59999999999995	v1= 0.2500760382890413	v2= 0.18106810537208495
t= 35.79999999999995	v1= 0.243797595433322	v2= 0.17880914291464362
t= 35.99999999999995	v1= 0.23772074094731452	v2= 0.1765176475891198
t= 36.19999999999995	v1= 0.23183698264624336	v2= 0.17419876398677756
t= 36.399999999999956	v1= 0.22613825863763484	v2= 0.17185727269476375
t= 36.59999999999996	v1= 0.22061691353245647	v2= 0.1694976127723473
t= 36.79999999999996	v1= 0.21526567601664584	v2= 0.16712390289276072
t= 36.99999999999996	v1= 0.21007763770429058	v2= 0.1647399612288685
t= 37.19999999999996	v1= 0.20504623319829696	v2= 0.16234932415631945
t= 37.39999999999996	v1= 0.20016522128869538	v2= 0.15995526384354095
t= 37.599999999999966	v1= 0.1954286672227895	v2= 0.1575608047938832
t= 37.79999999999997	v1= 0.19083092598517912	v2= 0.1551687394014085
t= 37.99999999999997	v1= 0.18636662652928684	v2= 0.1527816425782294
t= 38.199999999999974	v1= 0.18203065690541023	v2= 0.15040188550791828
t= 38.39999999999997	v1= 0.17781815023351374	v2= 0.14803164857632573
t= 38.59999999999997	v1= 0.17372447147198317	v2= 0.14567293352814706
t= 38.799999999999976	v1= 0.16974520493639786	v2= 0.14332757489475156
t= 38.99999999999998	v1= 0.16587614252504354	v2= 0.1409972507361303
t= 39.19999999999998	v1= 0.16211327261040154	v2= 0.13868349273731329
t= 39.399999999999984	v1= 0.1584527695582166	v2= 0.13638769569724984
t= 39.59999999999999	v1= 0.15489098383797423	v2= 0.1341111264459233
t= 39.79999999999998	v1= 0.15142443269071718	v2= 0.13185493222338202
t= 39.999999999999986	v1= 0.1480497913221087	v2= 0.12962014855239798
t= 40.19999999999999	v1= 0.14672925959051072	v2= 0.12742490663461026
t= 40.39999999999999	v1= 0.14933979161540642	v2= 0.1253285679048223
t= 40.599999999999994	v1= 0.15572988196961882	v2= 0.12340283742249276
t= 40.8	v1= 0.16575531594984602	v2= 0.1217137097095381
t= 41.0	v1= 0.17927877529152697	v2= 0.12032183174502409
t= 41.199999999999996	v1= 0.19420409124801333	v2= 0.11926564421515627
t= 41.4	v1= 0.20852665628950692	v2= 0.11853757469047788
t= 41.6	v1= 0.22227629951569286	v2= 0.11811323228146577
t= 41.800000000000004	v1= 0.23548121711707368	v2= 0.11796975132174206
t= 42.00000000000001	v1= 0.2481680654164573	v2= 0.11808570045895736
